택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
004P10029,충남 서천군,4,156,1,대전 우편집중국,14,26,53,5,중부권 광역우편물류센터,30,54,218,3,성남 우편집중국,69,81,58,1,경기 용인시 수지구,85
004P10030,강원 동해시,4,72,1,강릉 우편집중국,9,21,368,2,중부권 광역우편물류센터,46,87,253,12,부천 우편집중국,104,116,36,2,인천 계양구,118
004P10031,경북 경산시,4,54,2,대구 우편집중국,8,20,192,12,중부권 광역우편물류센터,33,57,253,9,부천 우편집중국,74,86,36,1,인천 부평구,88
004P10032,경기 용인시 기흥구,4,58,1,성남 우편집중국,8,20,218,9,중부권 광역우편물류센터,35,59,248,7,동서울 우편집중국,76,88,84,2,서울 종로구,94
004P10033,강원 정선군,4,124,1,원주 우편집중국,12,24,256,16,중부권 광역우편물류센터,41,87,253,12,부천 우편집중국,104,116,70,1,인천 연수구,121
004P10034,경기 수원시 영통구,4,30,1,수원 우편집중국,6,18,229,1,중부권 광역우편물류센터,33,57,202,8,진주 우편집중국,70,82,124,2,경남 거창군,90
004P10035,전북 완주군,4,189,1,진주 우편집중국,17,29,202,21,중부권 광역우편물류센터,42,87,202,15,진주 우편집중국,100,112,73,2,경남 하동군,117
004P10036,경북 고령군,4,80,1,대구 우편집중국,9,21,192,15,중부권 광역우편물류센터,34,58,268,2,고양 우편집중국,76,88,48,1,경기 파주시,91
004P10037,강원 인제군,4,150,3,원주 우편집중국,14,26,256,19,중부권 광역우편물류센터,43,87,229,7,수원 우편집중국,102,114,86,6,경기 오산시,120
004P10038,경남 사천시,4,42,1,진주 우편집중국,7,19,202,3,중부권 광역우편물류센터,32,56,229,2,수원 우편집중국,71,83,86,1,경기 오산시,89
004P10039,부산 강서구,4,34,1,부산 우편집중국,6,18,295,6,중부권 광역우편물류센터,38,62,253,17,부천 우편집중국,79,91,36,1,경기 부천시,93
005P10001,경기 안산시 상록구,5,71,1,부천 우편집중국,10,22,253,21,중부권 광역우편물류센터,39,63,192,14,대구 우편집중국,76,88,54,2,대구 달성군,92
005P10002,부산 수영구,5,60,2,부산 우편집중국,9,21,295,14,중부권 광역우편물류센터,41,87,216,6,안동 우편집중국,101,113,44,3,경북 예천군,116
005P10003,강원 횡성군,5,54,3,원주 우편집중국,9,21,256,11,중부권 광역우편물류센터,38,62,199,10,광주 우편집중국,75,87,150,1,광주 남구,97
005P10004,충남 서산시,5,128,2,천안 우편집중국,14,26,133,7,중부권 광역우편물류센터,35,59,199,5,광주 우편집중국,72,84,71,2,광주 동구,89
005P10005,대구 달서구,5,48,1,대구 우편집중국,8,20,192,12,중부권 광역우편물류센터,33,57,192,6,대구 우편집중국,70,82,80,1,경북 고령군,87
005P10006,전북 정읍시,5,244,1,진주 우편집중국,21,33,202,26,중부권 광역우편물류센터,46,87,253,12,부천 우편집중국,104,116,66,1,인천 중구,120
005P10007,전남 나주시,5,140,1,광주 우편집중국,14,26,199,11,중부권 광역우편물류센터,39,63,248,15,동서울 우편집중국,80,92,54,1,서울 강동구,96
005P10008,인천 부평구,5,36,2,부천 우편집중국,7,19,253,14,중부권 광역우편물류센터,36,60,248,10,동서울 우편집중국,77,89,36,1,서울 성북구,91
005P10009,충북 청주시 청원구,5,30,1,청주 우편집중국,7,19,100,3,중부권 광역우편물류센터,26,50,253,4,부천 우편집중국,67,79,68,1,경기 안산시 단원구,84
005P10010,충남 청양군,5,102,1,대전 우편집중국,12,24,53,6,중부권 광역우편물류센터,28,52,253,5,부천 우편집중국,69,81,61,1,인천 미추홀구,85
005P10011,전남 보성군,5,84,1,순천 집중과,11,23,233,4,중부권 광역우편물류센터,39,63,199,12,광주 우편집중국,76,88,202,3,광주 광산구,101
005P10012,경기 화성시,5,110,2,수원 우편집중국,12,24,229,7,중부권 광역우편물류센터,39,63,253,18,부천 우편집중국,80,92,66,2,인천 옹진군,96
005P10013,부산 기장군,5,65,1,울산 우편집중국,9,21,318,6,중부권 광역우편물류센터,42,87,368,10,강릉 우편집중국,112,124,97,3,강원 속초시,130
005P10014,경기 가평군,5,213,1,동서울 우편집중국,19,31,248,16,중부권 광역우편물류센터,48,135,251,9,창원 우편집중국,152,164,75,6,경남 창녕군,169
005P10015,전남 진도군,5,30,2,영암 우편집중국,7,19,290,6,중부권 광역우편물류센터,38,62,268,9,고양 우편집중국,80,92,42,3,서울 서대문구,95
