택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
006P10010,전남 완도군,6,50,1,영암 우편집중국,9,21,290,4,중부권 광역우편물류센터,40,64,256,8,원주 우편집중국,81,93,75,2,경기 여주시,0,0
006P10011,서울 동작구,6,51,1,성남 우편집중국,9,21,218,12,중부권 광역우편물류센터,36,60,192,8,대구 우편집중국,73,85,48,1,대구 달서구,0,0
006P10012,경기 안성시,6,114,2,수원 우편집중국,14,26,229,10,중부권 광역우편물류센터,41,88,202,15,진주 우편집중국,101,113,34,2,경남 진주시,0,0
006P10013,대구 서구,6,43,2,대구 우편집중국,9,21,192,8,중부권 광역우편물류센터,34,58,100,2,청주 우편집중국,65,77,71,1,충북 진천군,0,0
006P10014,강원 횡성군,6,54,1,원주 우편집중국,10,22,256,7,중부권 광역우편물류센터,39,63,229,5,수원 우편집중국,78,90,110,2,경기 화성시,0,0
006P10015,대전 동구,6,57,1,대전 우편집중국,10,22,53,3,중부권 광역우편물류센터,26,50,253,1,부천 우편집중국,67,79,36,1,인천 계양구,0,0
006P10016,울산 남구,6,30,1,울산 우편집중국,8,20,318,6,중부권 광역우편물류센터,41,88,271,6,포항 우편집중국,106,118,30,4,경북 영덕군,0,0
006P10017,경북 포항시 북구,6,30,1,포항 우편집중국,8,20,271,3,중부권 광역우편물류센터,38,62,199,6,광주 우편집중국,75,87,71,2,광주 동구,0,0
006P10018,경기 연천군,6,55,2,의정부 우편집중국,10,22,261,10,중부권 광역우편물류센터,39,63,261,12,의정부 우편집중국,80,92,48,1,서울 중랑구,0,0
007P10001,충북 음성군,7,97,2,청주 우편집중국,13,25,100,12,중부권 광역우편물류센터,32,56,133,3,천안 우편집중국,65,77,113,1,충남 예산군,0,0
007P10002,충남 청양군,7,102,1,대전 우편집중국,14,26,53,3,중부권 광역우편물류센터,30,54,248,3,동서울 우편집중국,71,83,84,1,서울 종로구,0,0
007P10003,충북 음성군,7,97,2,청주 우편집중국,13,25,100,12,중부권 광역우편물류센터,32,56,295,3,부산 우편집중국,76,88,70,1,부산 부산진구,0,0
007P10004,경기 안산시 단원구,7,68,1,부천 우편집중국,12,24,253,15,중부권 광역우편물류센터,41,88,248,11,동서울 우편집중국,105,117,54,1,서울 강동구,0,0
007P10005,대구 동구,7,50,1,대구 우편집중국,10,22,192,11,중부권 광역우편물류센터,35,59,192,7,대구 우편집중국,72,84,55,1,경북 칠곡군,0,0
007P10006,충북 보은군,7,87,1,청주 우편집중국,13,25,100,12,중부권 광역우편물류센터,32,56,256,4,원주 우편집중국,73,85,98,1,충북 단양군,0,0
007P10007,서울 중랑구,7,48,1,의정부 우편집중국,10,22,261,10,중부권 광역우편물류센터,39,63,218,16,성남 우편집중국,78,90,88,2,서울 구로구,0,0
